CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
000091 BANA Taipei,2023/12,4,N,12,NTD,"353,106","6,281,736","6,911,112",0,"5,652,500","22,095,754","36,677",0,"22,561,561","8,783,563",0,0,0,0,"130,544",0,0,696,0,"40,527,342","113,334,591",0,0,"4,695,052",0,0,0,0,"836,114","140,845",0,"63,274,983",0,0,0,"31,151",0,"111,228","357,878","38,039,671","107,486,922","390,000",0,0,0,0,"390,000",0,-,-,-,"5,470,218",-,-,-,-,-,-,-,-,-,"-12,549",0,"5,847,669",0,0,0,"5,847,669","113,334,591"
000082 UBS,2023/12,4,Y,12,NTD,"116,679","1,573,734","3,214,249",0,0,"1,316,320","15,806",0,"67,396,850","3,397,315",0,0,0,0,"789,966","368,979",0,0,"259,815","103,889,314","182,339,027",0,0,"4,163,233",0,0,0,0,"1,976,424","162,327",0,"124,953,723",0,0,"513,640","448,707","385,527",0,0,"46,205,163","178,808,744","1,040,000",0,0,0,0,"1,040,000",0,0,0,"2,391,274","2,391,274",0,"-1,596",0,"100,605",0,0,0,0,0,"99,009",0,"3,530,283",0,0,0,"3,530,283","182,339,027"
